#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-12-15T06:51:03 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ548e7c4d7707	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:VII/202&tab:{VII/202/catalog}&key:source=VII/202&HTTPPRM:&&-ref=VIZ548e7c4d7707&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/202/catalog
#-order=I
#-out=ID
#-out=Name
#-out=GLON
#-out=GLAT
#-out=Rsun
#-out=X
#-out=Y
#-out=Z
#-out=Vt
#

#RESOURCE=yCat_7202
#Name: VII/202
#Title: Globular Clusters in the Milky Way (Harris, 1997)
#Table	VII_202_catalog:
#Name: VII/202/catalog
#Title: The catalogue of Globular Clusters
#Column	ID	(A9)	Cluster identification number	[ucd=meta.id;meta.main]
#Column	Name	(a11)	Other commonly used cluster name	[ucd=meta.id]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	Rsun	(F5.1)	? Distance from Sun	[ucd=pos.distance;pos.heliocentric]
#Column	X	(F5.1)	? X-component (1)	[ucd=pos]
#Column	Y	(F5.1)	? Y-component (1)	[ucd=pos]
#Column	Z	(F5.1)	? Z-component (1)	[ucd=pos]
#Column	Vt	(F5.2)	? Integrated V magnitude of the cluster	[ucd=phot.mag;em.opt]
ID|Name|GLON|GLAT|Rsun|X|Y|Z|Vt
NGC 4833 |           |303.61| -8.01|  5.9|  3.2| -4.8| -0.8| 6.91
NGC 5024 |M 53       |332.96| 79.76| 18.4|  2.9| -1.5| 18.2| 7.61
NGC 5053 |           |335.69| 78.94| 16.2|  2.8| -1.3| 15.9| 9.47
NGC 5139 |omega Cen  |309.10| 14.97|  5.1|  3.1| -3.8|  1.3| 3.68
NGC 5272 |M 3        | 42.21| 78.71| 10.0|  1.5|  1.3|  9.8| 6.19
NGC 5286 |           |311.61| 10.57| 10.7|  7.0| -7.9|  2.0| 7.34
AM 4     |           |320.15| 33.54| 29.2| 18.7|-15.6| 16.1|15.90
NGC 5466 |           | 42.15| 73.59| 16.6|  3.5|  3.2| 15.9| 9.04
NGC 5634 |           |342.21| 49.26| 25.3| 15.7| -5.1| 19.2| 9.47
NGC 5694 |           |331.06| 30.36| 33.9| 25.6|-14.1| 17.1|10.17
IC 4499  |           |307.35|-20.47| 18.4| 10.5|-13.7| -6.4| 9.76
NGC 5824 |           |332.55| 22.07| 31.3| 25.7|-13.4| 11.7| 9.09
Pal 5    |           |  0.85| 45.86| 22.6| 15.8|  0.2| 16.2|11.75
NGC 5897 |           |342.95| 30.29| 12.7| 10.5| -3.2|  6.4| 8.53
NGC 5904 |M 5        |  3.86| 46.80|  7.3|  5.0|  0.3|  5.3| 5.65
NGC 5927 |           |326.60|  4.86|  7.4|  6.2| -4.1|  0.6| 8.01
NGC 5946 |           |327.58|  4.19| 12.3| 10.4| -6.6|  0.9| 9.61
BH 176   |           |328.41|  4.34| 15.2| 12.9| -8.0|  1.2|14.00
NGC 5986 |           |337.02| 13.27| 10.3|  9.2| -3.9|  2.4| 7.52
Pal 14   |AvdB       | 28.75| 42.18| 72.2| 46.9| 25.7| 48.5|14.74
NGC 6093 |M 80       |352.67| 19.46|  8.7|  8.1| -1.0|  2.9| 7.33
NGC 6121 |M 4        |350.97| 15.97|  2.2|  2.0| -0.3|  0.6| 5.63
NGC 6101 |           |317.75|-15.82| 15.1| 10.8| -9.8| -4.1| 9.16
NGC 6144 |           |351.93| 15.70| 10.1|  9.6| -1.4|  2.7| 9.01
NGC 6139 |           |342.37|  6.94| 10.5|  9.9| -3.2|  1.3| 8.99
Terzan 3 |           |345.08|  9.19| 26.4| 25.2| -6.7|  4.2|12.00
NGC 6171 |M 107      |  3.37| 23.01|  6.3|  5.8|  0.3|  2.4| 7.93
1636-283 |ESO452-SC11|351.91| 12.10|  7.6|  7.4| -1.0|  1.6|12.00
NGC 6205 |M 13       | 59.01| 40.91|  7.0|  2.7|  4.5|  4.6| 5.78
NGC 6229 |           | 73.64| 40.31| 29.3|  6.3| 21.4| 19.0| 9.39
NGC 6218 |M 12       | 15.72| 26.31|  4.7|  4.1|  1.2|  2.1| 6.70
NGC 6235 |           |358.92| 13.52|  9.7|  9.5| -0.2|  2.3| 9.97
NGC 6254 |M 10       | 15.14| 23.08|  4.3|  3.8|  1.0|  1.7| 6.60
NGC 6256 |           |347.79|  3.31|  9.3|  9.1| -2.0|  0.5|11.29
Pal 15   |           | 18.87| 24.30| 43.6| 37.6| 12.8| 17.9|14.00
NGC 6266 |M 62       |353.58|  7.32|  6.7|  6.6| -0.7|  0.9| 6.45
NGC 6273 |M 19       |356.87|  9.38|  8.5|  8.4| -0.5|  1.4| 6.77
NGC 6284 |           |358.35|  9.94| 14.3| 14.1| -0.4|  2.5| 8.83
NGC 6287 |           |  0.13| 11.02|  8.4|  8.3|  0.0|  1.6| 9.35
NGC 6293 |           |357.62|  7.83|  8.8|  8.7| -0.4|  1.2| 8.22
NGC 6304 |           |355.83|  5.38|  6.0|  5.9| -0.4|  0.6| 8.22
NGC 6316 |           |357.18|  5.76| 11.5| 11.4| -0.6|  1.2| 8.43
NGC 6341 |M 92       | 68.34| 34.86|  8.1|  2.4|  6.1|  4.6| 6.44
NGC 6325 |           |  0.97|  8.00|  9.4|  9.3|  0.2|  1.3|10.33
NGC 6333 |M 9        |  5.54| 10.70|  8.3|  8.1|  0.8|  1.5| 7.72
NGC 6342 |           |  4.90|  9.73|  9.1|  8.9|  0.8|  1.5| 9.66
NGC 6356 |           |  6.72| 10.22| 14.6| 14.3|  1.7|  2.6| 8.25
NGC 6355 |           |359.58|  5.43|  7.1|  7.0| -0.1|  0.7| 9.14
NGC 6352 |           |341.42| -7.17|  5.6|  5.2| -1.8| -0.7| 7.96
IC 1257  |           | 16.53| 15.14| 24.5| 22.6|  6.7|  6.4|13.10
Terzan 2 |HP 3       |356.32|  2.30|  9.5|  9.5| -0.6|  0.4|14.29
NGC 6366 |           | 18.41| 16.04|  3.6|  3.3|  1.1|  1.0| 9.20
Terzan 4 |HP 4       |356.02|  1.31|  8.9|  8.9| -0.6|  0.2|16.00
HP 1     |BH 229     |357.42|  2.12|  7.2|  7.2| -0.3|  0.3|11.59
NGC 6362 |           |325.55|-17.57|  7.5|  5.9| -4.0| -2.3| 7.73
Liller 1 |           |354.84| -0.16| 10.5| 10.5| -0.9|  0.0|16.77
Terzan 1 |HP 2       |357.57|  1.00|  6.5|  6.5| -0.3|  0.1|15.90
Ton 2    |Pismis 26  |350.80| -3.42|  7.9|  7.8| -1.3| -0.5|12.24
NGC 6388 |           |345.56| -6.74| 11.5| 11.1| -2.9| -1.4| 6.72
NGC 6402 |M 14       | 21.32| 14.81|  8.7|  7.8|  3.1|  2.2| 7.59
NGC 6401 |           |  3.45|  3.98|  7.5|  7.5|  0.5|  0.5| 9.45
NGC 6397 |           |338.17|-11.96|  2.2|  2.0| -0.8| -0.5| 5.73
Pal 6    |           |  2.09|  1.78|  6.7|  6.7|  0.2|  0.2|11.55
NGC 6426 |           | 28.09| 16.23| 19.9| 16.8|  9.0|  5.6|11.01
Djorg 1  |           |356.67| -2.48|  9.2|  9.2| -0.5| -0.4|13.60
Terzan 5 |Terzan 11  |  3.81|  1.67|  8.0|  8.0|  0.5|  0.2|13.85
NGC 6440 |           |  7.73|  3.80|  8.0|  7.9|  1.1|  0.5| 9.20
NGC 6441 |           |353.53| -5.01|  9.7|  9.6| -1.1| -0.8| 7.15
Terzan 6 |HP 5       |358.57| -2.16|  7.5|  7.5| -0.2| -0.3|13.85
NGC 6453 |           |355.72| -3.87| 10.9| 10.9| -0.8| -0.7|10.08
UKS 1    |           |  5.12|  0.76|  7.5|  7.5|  0.7|  0.1|17.29
NGC 6496 |           |348.02|-10.01| 11.6| 11.1| -2.4| -2.0| 8.54
Terzan 9 |           |  3.60| -1.99|  7.8|  7.8|  0.5| -0.3|16.00
Djorg 2  |E456-SC38  |  2.76| -2.51| 13.8| 13.8|  0.7| -0.6| 9.90
NGC 6517 |           | 19.23|  6.76| 10.5|  9.9|  3.4|  1.2|10.23
Terzan 10|           |  4.42| -1.86|  8.4|  8.3|  0.6| -0.3|14.90
NGC 6522 |           |  1.02| -3.93|  7.0|  7.0|  0.1| -0.5| 8.27
NGC 6535 |           | 27.18| 10.44|  6.8|  5.9|  3.0|  1.2|10.47
NGC 6528 |           |  1.14| -4.17|  7.4|  7.4|  0.1| -0.5| 9.60
NGC 6539 |           | 20.80|  6.78|  7.9|  7.3|  2.8|  0.9| 9.33
NGC 6540 |Djorg 3    |  3.29| -3.31|  3.5|  3.5|  0.2| -0.2| 9.30
NGC 6544 |           |  5.84| -2.20|  2.5|  2.5|  0.3| -0.1| 7.77
NGC 6541 |           |349.29|-11.18|  7.4|  7.2| -1.4| -1.4| 6.30
NGC 6553 |           |  5.25| -3.02|  4.7|  4.7|  0.4| -0.2| 8.06
NGC 6558 |           |  0.20| -6.03|  6.4|  6.4|  0.0| -0.7| 9.26
IC 1276  |Pal 7      | 21.83|  5.67|  9.3|  8.6|  3.5|  0.9|10.34
NGC 6569 |           |  0.48| -6.68|  8.5|  8.4|  0.1| -1.0| 8.55
NGC 6584 |           |342.14|-16.41| 13.0| 11.8| -3.8| -3.7| 8.27
NGC 6624 |           |  2.79| -7.91|  7.9|  7.8|  0.4| -1.1| 7.87
NGC 6626 |M 28       |  7.80| -5.58|  5.7|  5.7|  0.8| -0.6| 6.79
NGC 6638 |           |  7.90| -7.15|  8.2|  8.0|  1.1| -1.0| 9.02
NGC 6637 |M 69       |  1.72|-10.27|  8.2|  8.1|  0.2| -1.5| 7.64
NGC 6642 |           |  9.81| -6.44|  7.6|  7.5|  1.3| -0.9| 9.13
NGC 6652 |           |  1.53|-11.38|  9.4|  9.2|  0.2| -1.9| 8.62
NGC 6656 |M 22       |  9.89| -7.55|  3.2|  3.1|  0.5| -0.4| 5.10
Pal 8    |           | 14.10| -6.80| 12.4| 12.0|  3.0| -1.5|11.02
NGC 6681 |M 70       |  2.85|-12.51|  8.7|  8.5|  0.4| -1.9| 7.87
NGC 6712 |           | 25.35| -4.32|  6.7|  6.0|  2.9| -0.5| 8.10
NGC 6715 |M 54       |  5.61|-14.09| 26.2| 25.3|  2.5| -6.4| 7.60
NGC 6717 |Pal 9      | 12.88|-10.90|  7.1|  6.8|  1.6| -1.3| 9.28
NGC 6723 |           |  0.07|-17.30|  8.6|  8.2|  0.0| -2.5| 7.01
NGC 6749 |           | 36.20| -2.20|  7.7|  6.2|  4.6| -0.3|12.44
NGC 6752 |           |336.50|-25.63|  3.9|  3.2| -1.4| -1.7| 5.40
NGC 6760 |           | 36.11| -3.92|  7.3|  5.9|  4.3| -0.5| 8.88
NGC 6779 |M 56       | 62.66|  8.34|  9.9|  4.5|  8.7|  1.4| 8.27
Terzan 7 |           |  3.39|-20.07| 23.0| 21.6|  1.3| -7.9|12.00
Pal 10   |           | 52.44|  2.72|  5.8|  3.5|  4.6|  0.3|13.22
Arp 2    |           |  8.55|-20.78| 27.6| 25.5|  3.8| -9.8|12.30
NGC 6809 |M 55       |  8.80|-23.27|  5.3|  4.8|  0.7| -2.1| 6.32
Terzan 8 |           |  5.76|-24.56| 25.4| 23.0|  2.3|-10.6|12.40
Pal 11   |           | 31.81|-15.58| 12.6| 10.3|  6.4| -3.4| 9.80
NGC 6838 |M 71       | 56.74| -4.56|  3.8|  2.1|  3.2| -0.3| 8.19
NGC 6864 |M 75       | 20.30|-25.75| 18.4| 15.5|  5.7| -8.0| 8.52
NGC 6934 |           | 52.10|-18.89| 15.2|  8.8| 11.3| -4.9| 8.83
NGC 6981 |M 72       | 35.16|-32.68| 16.8| 11.6|  8.1| -9.1| 9.27
NGC 7006 |           | 63.77|-19.41| 40.7| 17.0| 34.4|-13.5|10.56
NGC 7078 |M 15       | 65.01|-27.31| 10.2|  3.8|  8.2| -4.7| 6.20
NGC 7089 |M 2        | 53.38|-35.78| 11.4|  5.5|  7.4| -6.7| 6.47
NGC 7099 |M 30       | 27.18|-46.83|  7.9|  4.8|  2.5| -5.7| 7.19
Pal 12   |           | 30.51|-47.68| 18.7| 10.8|  6.4|-13.8|11.99
Pal 13   |           | 87.10|-42.70| 26.3|  1.0| 19.3|-17.9|13.80
NGC 7492 |           | 53.39|-63.48| 25.2|  6.7|  9.0|-22.5|11.29
