#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-12-25T13:42:25 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ549c13b65cc2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_Glon,_Glat
#-nav=cat:B/ocl&tab:{B/ocl/clusters}&key:source=B/ocl/clusters&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/ocl/clusters
#-order=I
#-out=Cluster
#-out=Dist
#WEBDA=WEBDA
#Lynga=Lynga
#

#RESOURCE=yCat_102022
#Name: B/ocl
#Title: Optically visible open clusters and Candidates (Dias+ 2002-2014)
#Coosys	G:	galactic
#Table	B_ocl_clusters:
#Name: B/ocl/clusters
#Title: The Catalogue Data File (V3.4)
#Column	_Glon	(F7.3)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lon]
#Column	_Glat	(F7.3)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lat]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	Dist	(I5)	[25/15000]? Distance from WEBDA [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
_Glon|_Glat|Cluster|Dist
180.064|-22.343|Melotte 25       |   45
197.271|-15.556|Mamajek 3        |   92
221.353|+84.025|Melotte 111      |   96
292.482|-21.653|Mamajek 1        |   97
238.549|-56.981|Alessi 13        |  100
300.217|-15.609|Feigelson 1      |  114
075.827| +1.320|Feibelman 1      |  117
277.682| -7.621|Platais 8        |  132
166.571|-23.521|Melotte 22       |  133
017.025|+12.309|Mamajek 2        |  161
289.601| -4.906|IC 2602          |  161
266.876| +3.378|Platais 9        |  174
270.362| -6.839|IC 2391          |  175
146.568| -5.863|Melotte 20       |  185
205.920|+32.484|NGC 2632         |  187
252.575| -7.299|NGC 2451A        |  189
128.446|-30.604|Platais 2        |  190
139.345|+16.148|Platais 3        |  200
344.288| -8.968|Alessi 9         |  211
308.638| -3.776|Platais 11       |  232
309.575| +3.077|Platais 10       |  246
029.750|+12.517|Collinder 359    |  249
104.746| -3.999|ASCC 123         |  250
015.572|-79.261|Blanco 1         |  269
228.801|-18.758|Platais 5        |  272
180.790|-10.859|Platais 4        |  276
026.749|+14.662|Collinder 350    |  280
015.893| -7.918|ASCC 99          |  280
257.921|-15.378|Alessi 3         |  288
353.091| +0.641|AH03 J1725 34.4  |  290
021.012|-12.816|Ruprecht 147     |  295
355.861| -4.501|NGC 6475         |  301
123.267|-13.304|Casado Alessi 1  |  302
252.051| -6.726|NGC 2451B        |  302
133.334| -1.694|Stock 2          |  303
248.765|-11.132|Collinder 135    |  316
060.247| +2.257|Stock 1          |  318
016.488| -8.031|Ruprecht 145     |  320
092.403| -2.242|NGC 7092         |  326
262.803| -7.686|Pozzo 1          |  336
205.368| -6.220|Platais 6        |  348
067.994|+11.587|ASCC 101         |  350
064.377|+12.663|ASCC 100         |  350
204.889|-19.466|ASCC 19          |  350
112.260| +4.135|ASCC 127         |  350
030.619|+17.082|IC 4665          |  352
214.432| -7.542|NGC 2232         |  359
281.021| -0.174|Loden 1          |  360
264.465| -8.597|NGC 2547         |  361
219.353|+12.353|Herschel 1       |  370
036.011| +8.328|NGC 6633         |  376
171.618| +3.562|Stock 10         |  380
140.052| +2.146|Stock 23         |  380
208.007|-18.939|NGC 1981         |  380
284.353| +0.868|Loden 89         |  380
160.490|-17.802|IC 348           |  385
343.777|-16.997|Mamajek 4        |  385
205.030|-17.351|Collinder 70     |  387
071.400| +0.273|Roslund 5        |  389
066.863|+15.515|Stephenson 1     |  390
288.083| -2.050|Alessi 5         |  398
206.811|-17.346|Sigma Orionis    |  399
257.394| +1.615|ASCC 48          |  400
195.048|-12.004|Collinder 69     |  400
264.537|+11.125|Turner 5         |  400
216.640| -8.227|ASCC 24          |  400
092.899| +0.590|NGC 7058         |  404
244.930| -7.591|Collinder 140    |  405
273.816|-15.856|NGC 2516         |  409
257.291| -3.513|Ruprecht 56      |  410
351.311| +0.623|BH 223           |  414
209.010|-19.386|NGC 1976         |  414
261.375| -8.163|Collinder 173    |  421
262.791| +0.674|Trumpler 10      |  424
309.608| -1.366|Platais 12       |  435
187.695|-21.114|NGC 1662         |  437
314.288| -6.075|BH 164           |  440
229.601| +2.918|NGC 2413         |  440
238.480| -4.283|Ivanov 6         |  442
201.669|-17.526|ASCC 20          |  450
078.121| +0.297|Roslund 6        |  450
274.923| -5.921|ESO 165 09       |  450
082.885| -6.654|ASCC 113         |  450
070.339| +3.511|ASCC 109         |  450
137.125|-23.254|NGC 752          |  457
200.982|-18.344|Briceno 1        |  460
279.040|-33.607|NGC 1901         |  460
137.976| +4.555|Trumpler 3       |  460
009.063| -2.090|NGC 6573         |  460
242.989| -8.802|Collinder 132    |  472
347.731| +1.972|NGC 6281         |  479
111.512| -8.655|Stock 12         |  480
254.081| -0.959|BH 23            |  480
036.381| +5.242|IC 4756          |  484
356.580| -0.777|NGC 6405         |  487
299.313| +4.556|NGC 4337         |  489
230.958| +3.130|NGC 2422         |  490
289.571| +1.347|NGC 3532         |  492
297.306| -2.290|Ruprecht 98      |  494
143.658|-15.613|NGC 1039         |  499
202.085|-18.481|ASCC 18          |  500
110.566|-12.535|Aveni Hunter 1   |  500
221.980| +5.365|ASCC 38          |  500
308.370| +3.171|Loden 915        |  500
223.437| +0.004|Alessi 21        |  500
062.790| +2.152|ASCC 105         |  500
040.208|-10.641|Alessi 44        |  500
354.288| -1.916|ASCC 90          |  500
311.759| +3.319|Loden 1171       |  500
328.893|-14.754|Alessi 24        |  500
163.034| -1.856|ASCC 12          |  500
199.861|-16.479|ASCC 21          |  500
208.472|-19.127|NGC 1977         |  500
286.245|-14.080|ASCC 51          |  500
263.075| -1.551|Ruprecht 65      |  500
312.180| +1.832|Loden 1194       |  500
152.292| +6.329|Alessi 2         |  501
286.558| -0.625|BH 99            |  507
340.741| +6.016|NGC 6124         |  512
204.605|+13.988|NGC 2395         |  512
031.654|-20.989|Alessi 10        |  513
067.465|-11.508|Alessi 12        |  537
282.566| +2.093|Loden 46         |  540
180.337|-16.772|NGC 1647         |  540
238.929|-27.930|NGC 2061         |  542
280.697| +4.545|NGC 3228         |  544
052.771| +8.737|Alessi 62        |  546
097.071| +1.002|ASCC 114         |  550
087.458| +9.278|Alessi Teutsch 11|  550
006.410| -0.236|Ruprecht 139     |  550
168.410| +3.094|Waterloo 2       |  550
273.099|-16.273|ESO 123 26       |  550
314.642| +3.960|ESO 175 06       |  550
040.216|+12.758|Alessi 19        |  550
209.523|-19.593|NGC 1980         |  550
209.672| +6.993|ASCC 34          |  550
283.784| -0.513|ASCC 59          |  550
308.662| +3.567|ASCC 74          |  550
072.536| +1.852|Kronberger 28    |  550
201.747| +0.006|Collinder 95     |  556
174.901|+16.881|NGC 2281         |  558
355.393| -3.759|NGC 6444         |  560
327.900| +1.800|Johansson 1      |  570
277.203|-38.318|NGC 1641         |  572
326.486| +4.261|Alessi 8         |  575
006.388| -0.499|Bochum 14        |  578
188.005|-10.317|Collinder 65     |  580
227.523| +2.627|NGC 2396         |  588
262.863| -2.439|Pismis 4         |  593
065.530| -4.074|NGC 6885         |  597
046.831| -9.275|NGC 6828         |  600
097.451| -2.543|ASCC 115         |  600
000.144| -0.844|Ruprecht 131     |  600
328.102| +1.106|ASCC 83          |  600
210.891| +3.698|ASCC 31          |  600
101.735|-11.483|Alessi 37        |  600
285.355| -0.864|Loden 143        |  600
290.794| +0.093|Loden 309        |  600
167.520|+14.422|ASCC 23          |  600
281.712| +1.328|ASCC 58          |  600
117.642| -3.691|Alessi 20        |  600
308.977| -4.245|ASCC 76          |  600
246.087| +1.855|NGC 2527         |  601
315.951| -1.748|Loden 1409       |  619
061.875|-77.653|NGC 7826         |  620
013.702| -4.434|IC 4725          |  620
211.919| -1.875|Dolidze 23       |  625
307.502| -2.024|Loden 848        |  626
009.894| +2.834|NGC 6494         |  628
120.678| +0.566|NGC 133          |  630
179.178|-10.696|NGC 1750         |  630
231.025| -2.280|NGC 2358         |  630
205.370| -1.758|Collinder 97     |  630
155.764| +6.851|NGC 1708         |  630
075.715| +0.304|Berkeley 87      |  633
274.064|+35.893|ESO 570 12       |  640
211.427|-10.582|NGC 2184         |  640
150.564| -9.230|ASCC 11          |  650
297.669| +1.780|Loden 565        |  650
015.198| +7.655|Alessi 31        |  650
301.496| -4.460|ASCC 73          |  650
283.118| +3.218|Loden 59         |  650
297.069| +1.393|Alessi Teutsch 8 |  650
232.908| +2.897|NGC 2430         |  650
122.011| -1.083|NGC 225          |  657
297.633| -1.477|Ruprecht 99      |  660
007.001| -3.002|ESO 522 05       |  660
253.944| +6.958|Collinder 196    |  661
154.952|-15.342|NGC 1342         |  665
316.937| +3.394|NGC 5662         |  666
202.936| +2.196|NGC 2264         |  667
270.810| -6.047|BH 52            |  667
054.600| -3.400|Roslund 1        |  670
311.885| +3.837|Loden 1177       |  673
264.488| +1.463|BH 56            |  680
083.058| -9.883|NGC 7063         |  689
014.883| -9.236|Collinder 394    |  690
134.665| +0.092|Markarian 6      |  698
315.746|+12.628|NGC 5460         |  700
095.911|-15.902|ASCC 122         |  700
044.398| +3.102|NGC 6738         |  700
328.836| +2.848|ASCC 81          |  700
330.662|-10.334|Alessi Teutsch 12|  700
018.915| -1.520|NGC 6639         |  700
185.845|-19.735|NGC 1663         |  700
229.974| +2.847|ASCC 40          |  700
069.458| +7.261|Teutsch 35       |  700
155.735|-17.796|Alessi Teutsch 9 |  700
087.408| +1.535|NGC 6991         |  700
309.503| +1.906|Loden 1010       |  700
058.865| -1.891|ASCC 107         |  700
079.773| -4.182|Roslund 7        |  700
110.930| +2.763|FSR 0416         |  700
127.192| +9.389|Collinder 463    |  702
305.121| -2.517|Loden 757        |  703
067.628| +0.856|Kronberger 52    |  705
308.128| -1.949|Loden 894        |  709
067.652| +0.248|Kronberger 68    |  710
231.020|-10.445|NGC 2287         |  710
286.784| -1.569|Bochum 9         |  710
153.359| +0.184|NGC 1545         |  711
245.009| -3.725|Haffner 13       |  714
349.963| -0.975|Ruprecht 123     |  714
141.924|+44.653|NGC 3231         |  715
221.857| -2.028|Ivanov 4         |  717
286.673| +2.589|Loden 189        |  720
137.377| -3.971|Trumpler 2       |  725
299.966| +1.011|Loden 624        |  731
217.494| -0.016|Ivanov 9         |  736
284.040| -1.601|BH 91            |  740
078.099| +2.781|Collinder 419    |  740
356.932| -1.549|NGC 6416         |  741
214.727| -0.116|ASCC 29          |  750
353.997| +3.009|BH 221           |  750
254.978| +0.329|AH03 J0822 36.4  |  750
000.658| -8.158|Ferrero 1        |  750
123.138| -1.291|ASCC 4           |  750
284.991| -0.383|Ruprecht 89      |  750
234.317| -4.637|ASCC 36          |  750
286.661| -5.186|Ruprecht 88      |  750
237.883| -9.605|Alessi 33        |  750
121.499| -1.744|NGC 189          |  752
324.551| -5.884|NGC 6025         |  756
349.987| -5.145|Trumpler 29      |  760
179.154|-10.490|NGC 1758         |  760
085.466| -0.478|NGC 6996         |  760
069.963|-24.302|NGC 7084         |  765
359.767| -1.873|Basel 5          |  766
230.484| +3.537|NGC 2423         |  766
227.872|+15.393|NGC 2548         |  770
069.860| -7.147|NGC 6940         |  770
275.936| -1.254|NGC 2925         |  774
291.137|-35.705|NGC 1520         |  775
357.940| -1.605|NGC 6425         |  778
293.238| +0.613|Ruprecht 164     |  780
118.127| +5.644|NGC 7762         |  780
079.353| +0.004|Kronberger 59    |  780
072.320|+84.591|Latham 1         |  786
104.012| +6.457|NGC 7160         |  789
015.395| -9.593|NGC 6716         |  789
311.519| +2.382|Loden 1152       |  789
274.084|-50.831|NGC 1252         |  790
070.450| +1.394|ASCC 110         |  800
289.539| -1.260|Collinder 236    |  800
236.676| -8.729|ASCC 33          |  800
054.902| -1.557|ASCC 104         |  800
213.463| +5.689|ASCC 35          |  800
320.042| -2.865|ASCC 79          |  800
188.200| +3.684|Collinder 89     |  800
213.383| +0.507|ASCC 28          |  800
206.355| +3.069|ASCC 26          |  800
179.075|-10.645|NGC 1746         |  800
266.455|-12.847|Alessi Teutsch 3 |  800
001.548|-12.942|ASCC 98          |  800
163.401| +3.260|ASCC 13          |  800
202.235| -8.037|NGC 2143         |  800
013.907| -5.601|Alessi 40        |  800
285.671| -0.322|ASCC 60          |  800
286.390| -6.876|ASCC 56          |  800
353.132| -4.937|ASCC 91          |  800
106.586| -8.454|ASCC 126         |  800
219.092| -1.596|ASCC 30          |  800
320.555| -7.741|ASCC 82          |  800
106.724| +5.305|Pismis Moreno 1  |  800
266.636| -3.592|IC 2395          |  800
259.756| +0.530|Ruprecht 64      |  800
112.985| -1.527|FSR 0435         |  805
098.857| -5.524|NGC 7243         |  808
215.696|+31.896|NGC 2682         |  808
122.863| +3.097|FSR 0516         |  810
016.420| +6.234|Ruprecht 135     |  810
316.829| -3.111|Ruprecht 112     |  810
324.594| -4.644|Ruprecht 113     |  810
095.465|-17.814|Teutsch 39       |  810
353.011| +0.256|ESO 392 13       |  816
007.086| -0.287|NGC 6514         |  816
307.859| +0.045|C1331 622        |  819
286.285| -2.503|Loden 172        |  819
061.583|+40.369|Dol Dzim 6       |  820
040.361| -0.700|Juchert 3        |  828
248.579| +0.759|ESO 430 18       |  830
110.858| +2.749|FSR 0414         |  831
086.217| +0.802|Barkhatova 1     |  833
099.312| +3.734|Trumpler 37      |  835
261.486| +0.991|Collinder 197    |  838
070.242| -2.611|Teutsch 124      |  840
355.856| +1.644|Antalova 1       |  850
262.504| +1.478|Alessi 43        |  850
316.315| +5.607|NGC 5593         |  850
015.545| +0.914|ASCC 94          |  850
064.761| +2.505|Turner 9         |  852
094.383| -5.495|IC 5146          |  852
083.751| +3.302|FSR 0260         |  852
354.100| -0.173|Collinder 333    |  855
081.748| +0.735|FSR 0249         |  857
295.890| -0.096|Ruprecht 96      |  860
175.916|+39.277|NGC 2666         |  860
046.853| +1.624|Berkeley 82      |  860
340.683| -1.920|NGC 6250         |  865
173.215| -3.468|Dolidze 16       |  868
259.340| +0.918|Pismis 5         |  869
212.558| +0.279|NGC 2301         |  870
143.358| -0.139|King 6           |  871
232.454| +0.770|Bochum 5         |  872
253.070| +0.939|Ruprecht 59      |  874
351.734| -3.338|Collinder 338    |  880
340.919| -1.089|Lynga 14         |  881
077.628| +0.381|FSR 0213         |  884
273.897| -3.972|ESO 166 04       |  885
340.088| -7.907|IC 4651          |  888
327.726| -5.426|NGC 6087         |  891
238.557| +1.381|Ruprecht 33      |  893
284.188| +3.848|NGC 3330         |  894
239.939| -9.305|Ruprecht 12      |  900
203.622| -4.905|NGC 2202         |  900
258.295| +0.275|Alessi Teutsch 7 |  900
313.865| -0.452|Lynga 2          |  900
264.441| -7.329|ASCC 46          |  900
323.565| -5.445|ASCC 84          |  900
327.507| +1.986|Loden 2326       |  900
077.659| +5.982|Dolidze 36       |  900
109.935| -5.963|ASCC 128         |  900
216.035|+31.421|NGC 2678         |  900
091.336| +2.303|NGC 7031         |  900
259.379| +3.443|Teutsch 38       |  900
286.870| +1.492|Ruprecht 91      |  900
206.248| -1.261|NGC 2252         |  900
060.866|+43.876|Dol Dzim 5       |  900
104.451| +4.148|Alessi Teutsch 5 |  900
302.422| +2.218|Loden 682        |  900
332.386| -1.683|Ruprecht 116     |  900
355.150| +8.011|ASCC 87          |  900
173.863| -0.590|Dolidze 20       |  900
287.936| +1.161|ESO 128 16       |  900
308.252| +3.984|Ruprecht 108     |  901
079.686| +3.826|FSR 0232         |  901
291.507| -9.155|ESO 062 11       |  910
203.849| -7.009|NGC 2180         |  910
283.332| -3.840|NGC 3114         |  911
237.840| +5.848|NGC 2509         |  912
186.591| +2.191|NGC 2168         |  912
316.999| +3.895|FSR 1688         |  912
254.855| -1.986|NGC 2546         |  919
279.596| -2.071|NGC 3033         |  922
306.759| +0.141|Loden 807        |  925
338.714| +0.106|Ruprecht 121     |  929
005.286| -0.585|Ruprecht 138     |  930
250.088| -5.974|Ruprecht 31      |  930
295.053| -0.672|Lynga 15         |  932
321.573| +3.593|NGC 5822         |  933
286.764|+16.918|NGC 3680         |  938
007.328| -1.382|NGC 6546         |  938
333.755| -5.765|NGC 6208         |  939
210.783|+11.469|NGC 2394         |  940
205.872|-12.615|NGC 2112         |  940
284.611| -4.306|Ruprecht 161     |  940
050.519| -8.009|NGC 6837         |  943
309.437| -3.242|Loden 1002       |  949
262.575| -2.969|BH 34            |  950
300.885| +1.237|Ruprecht 105     |  950
352.582| -3.242|NGC 6400         |  950
221.672| -1.331|NGC 2323         |  950
087.879| -1.705|NGC 7039         |  951
333.276| -1.879|Ruprecht 119     |  956
330.844|-20.878|NGC 6588         |  960
207.964| -3.386|Collinder 96     |  962
088.589| -3.591|Basel 14         |  964
077.161| +1.667|Dolidze 5        |  969
300.061| +2.928|Hogg 14          |  969
243.326| +1.639|Ruprecht 42      |  970
306.013| +2.651|NGC 5043         |  970
076.122| +1.065|Dolidze 42       |  972
268.690|-30.200|NGC 2132         |  974
332.491| -1.623|Ruprecht 117     |  974
274.634| +5.992|Ruprecht 160     |  976
341.537| -1.186|NGC 6249         |  981
232.928|-21.419|ESO 489 01       |  981
355.690| +0.041|NGC 6383         |  985
002.248| -2.293|Trumpler 31      |  986
236.371|-20.356|ESO 425 15       |  990
289.515| -0.411|NGC 3496         |  990
345.279| -3.056|NGC 6322         |  996
138.029| +1.502|SAI 24           | 1000
143.672| +7.658|NGC 1502         | 1000
331.468| -0.597|Pismis 22        | 1000
289.293| +4.840|ASCC 66          | 1000
312.132|+27.089|ESO 383 10       | 1000
230.045| -3.800|Haffner 23       | 1000
009.409| -1.651|NGC 6568         | 1000
244.736| -0.385|ASCC 43          | 1000
097.732| -8.387|ASCC 119         | 1000
106.710| -4.901|NGC 7438         | 1000
206.004| -0.463|Collinder 106    | 1000
173.047| -0.119|FSR 0777         | 1000
190.078| +0.797|Pismis 27        | 1000
344.393| +1.613|Collinder 316    | 1000
137.273| -3.471|FSR 0611         | 1000
355.748| -5.254|Trumpler 30      | 1000
064.544|-21.443|NGC 7036         | 1000
299.659| -2.107|Loden 615        | 1000
059.237| +3.945|NGC 6800         | 1000
111.229| -5.365|Alessi J2327+55  | 1000
299.047| -7.237|ASCC 69          | 1000
025.749| -5.686|NGC 6728         | 1000
086.212| -1.410|Collinder 428    | 1000
335.697| -3.461|Lynga 12         | 1000
357.525| +2.844|Trumpler 26      | 1000
359.421| -0.518|BH 245           | 1000
118.221| +4.996|Berkeley 59      | 1000
249.609| +2.339|Haffner 26       | 1000
339.378| +2.515|NGC 6169         | 1011
338.405| +1.211|NGC 6178         | 1014
203.622|-43.330|NGC 1498         | 1020
351.146| +0.475|NGC 6334         | 1025
045.652| -0.182|Berkeley 43      | 1030
135.747| +1.562|NGC 1027         | 1030
332.918| -3.167|NGC 6152         | 1030
319.529| +4.544|NGC 5749         | 1031
260.195|-10.870|ESO 258 01       | 1031
341.997| -1.517|NGC 6259         | 1031
074.601| +1.045|Dolidze 3        | 1032
254.674| +0.213|NGC 2579         | 1033
291.393| +0.456|Hogg 13          | 1036
240.039| +0.135|NGC 2447         | 1037
240.759| -0.264|NGC 2448         | 1040
270.835| -6.092|NGC 2669         | 1046
300.643| -2.014|NGC 4463         | 1050
079.430| +2.542|Collinder 421    | 1050
333.273| -0.071|Lynga 8          | 1050
195.608| -2.935|NGC 2169         | 1052
168.287|-12.287|Czernik 18       | 1052
283.773|-38.261|NGC 1557         | 1055
075.110| +2.137|Kronberger 72    | 1055
239.928| -4.941|Ruprecht 18      | 1056
224.268| -1.173|NGC 2343         | 1056
082.096| -1.715|SAI 137          | 1060
268.987| +0.806|ESO 261 03       | 1063
182.554| -0.741|FSR 0846         | 1063
079.898| +2.294|Dolidze 9        | 1063
061.107|-15.198|NGC 6950         | 1070
147.484| +5.701|IC 361           | 1070
105.404| +9.885|NGC 7129         | 1070
052.561| -0.058|Berkeley 47      | 1070
278.142|-23.809|NGC 2348         | 1070
042.120| +4.715|NGC 6709         | 1075
096.272| +1.103|Kronberger 84    | 1075
323.006| -1.747|Loden 2159       | 1076
351.201| +1.360|Bochum 13        | 1077
080.042| +2.693|Dolidze 8        | 1078
119.763| +1.690|King 1           | 1080
346.049| +1.300|NGC 6268         | 1080
070.094|-34.279|NGC 7193         | 1080
003.592|-16.984|ESO 397 01       | 1089
194.600| -3.494|FSR 0932         | 1090
152.057| +0.258|NGC 1528         | 1090
163.186|+13.144|NGC 2126         | 1090
073.119| +1.003|Ruprecht 172     | 1100
056.167| +3.317|NGC 6793         | 1100
179.123| -0.225|FSR 0823         | 1100
130.714| +2.671|Stock 5          | 1100
235.396|-22.288|ESO 425 06       | 1100
324.654| +0.656|Lynga 4          | 1100
280.616| -2.092|ASCC 55          | 1100
156.514|+13.417|NGC 2013         | 1100
074.455| +5.986|ASCC 108         | 1100
300.694| +1.842|ASCC 72          | 1100
006.593| +1.959|NGC 6469         | 1100
