#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-12-08T15:46:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5485c79c2c80	
#INFO	-out.max=unlimited	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:IV/22&tab:{IV/22/index}&key:source=IV/22&HTTPPRM:&&-ref=VIZ5485c79c2c80&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=IV/22/index
#-order=I
#-out=HD
#-out=name
#

#RESOURCE=yCat_4022
#Name: IV/22
#Title: FK5 - SAO - HD - Common Name Cross Index (Smith 1996)
#Table	IV_22_index:
#Name: IV/22/index
#Title: The catalog
#Column	HD	(I6)	? HD number (Cat. III/135) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	name	(a20)	Common name or variable name	[ucd=meta.id]
HD|name
 16160|268 G CET
 15920|
 16432|
 16582|
 16978|
 16920|
 16815|
 16908|
 16901|
 17081|
 16895|
 17134|
 16769|
 17094|
 17652|
 17573|
 17506|
 17824|
 17769|
 17878|
 18322|AZHA
 18331|
 18404|
 18622|ACAMAR
 18449|
 18604|
 18921|
 19400|
 18884|MENKAR
 18978|
 19141|
 19319|
 18925|
 19058|
 18438|
 19467|
 19356|ALGOL
 19373|
 19548|
 19787|
 20234|
 19994|
 20301|
 20150|
 20320|
 21024|
 20504|
 20630|
 20794|82 G  ERIDANI
 19978|
 20756|
 20902|MIRFAK
 20797|
 21120|
 21364|
 21291|
 22001|
 21552|
 21790|
 21754|
 20084|
 22231|
 21856|
 22049|
 22203|
 22470|
 22484|
 22663|
 22789|
 22805|
 22649|
 23227|
 22928|
 23249|
 23817|
 23363|
 23302|ELECTRA
 23230|
 23466|
 23754|
 24512|
 23630|ALCYONE
 23850|ATLAS
 24160|
 23401|
 24446|
 24357|
 24706|
 24141|
 24398|ATIK
 24760|
 25025|ZAURAK
 25346|
 25422|
 24912|MENKIB
 25204|
 25938|
 25340|
 25490|
 25604|
 25945|
 25642|
 25940|
 26162|
 26322|
 26574|BEID
 26967|
 27256|
 26630|
 26912|
 27290|
 28525|
 27371|
 27528|
 27348|
 27616|
 28093|
 29598|
 27697|
 27861|
 28028|
 28375|
 28305|
 27932|
 28873|
 28446|
 28704|
 28910|
 29305|
 26367|
 29291|
 29139|ALDEBARAN
 29248|
 29503|
 29737|
 29875|
 29646|
 29992|
 29763|
 30612|
 29721|
 30076|
 30211|
 30422|
 30121|
 29678|
 30652|
 30504|
 30836|
 30780|
 30959|
 30614|
 31237|
 32440|
 31398|
 34172|
 31964|
 32515|
 32068|
 32301|
 31910|
 32549|
 33042|
 32887|
 33262|
 32630|
 33331|
 33111|CURSA
 33328|
 33254|
 33204|
 33904|
 33641|
 34649|
 34085|RIGEL
 34029|CAPELLA
 34642|
 34503|
 34411|
 35072|
 34868|
 34816|
 35039|
 33564|
 35468|BELLATRIX
 35497|ELNATH
 36060|
 35671|
 36079|NIHAL
 36553|
 35583|
 39780|
 32196|
 37763|
 36486|MINTAKA
 36066|
 36371|
 36673|ARNEB
 37350|
 36822|
 37043|
 37128|ALNILAM
 37202|
 37530|
 37795|PHACT
 36384|
 42556|
 38393|
 39014|
 38104|
 38678|
 38558|
 38771|SAIPH
 38858|
 39523|
 39640|
 39425|WAZN
 39364|
 39003|
 39357|
 39283|
 39801|BETELGEUSE
 40136|
 40494|
 40446|
 40808|
 40035|
 40183|MENKALINAN
 40439|
 36905|
 41116|
 41700|
 41380|
 41843|
 41753|
 43107|
 42301|
 43834|
 42933|
 41927|
 43039|
 43017|
 43386|
 43785|
 42818|
 43378|
 44112|
 44402|FURUD
 44743|MIRZAM
 44478|
 44769|
 45348|CANOPUS
 44951|
 44537|
 44901|
 65322|
 45546|
 45542|
 46300|
 46487|
 46933|
 46480|
 47105|ALHENA
 47670|
 47070|
 50506|
 48329|MEBSUTA
 48915|SIRIUS
 48737|
 46588|
 48977|
 48682|
 58805|
 49591|
 48781|
 49293|
 50241|
 49643|
 50013|
 50310|
 51557|
 50019|
 49340|
 50778|
 52089|ADHARA
 49878|
 52312|
 52877|
 52497|
 53138|
 53244|
 53704|
 52973|
 54118|
 54079|
 54605|
 55865|
 54810|
 54716|
 55185|
 55892|
 55383|BQ GEM
 55575|
 57623|
 56855|
 56221|
 56537|
 56986|WASAT
 57103|
 58350|ALUDRA
 57669|
 58461|
 58207|
 58715|GOMEISA
 58946|
 59717|
 59294|
 58425|
 60532|
 60178|CASTOR
 61248|
 60522|
 60437|
 61068|
 61064|
 61330|
 61421|PROCYON
 51802|
 61935|
 63295|
 61497|
 62345|
 62509|POLLUX
 62952|
 62721|
 62832|
 62647|
 62898|
 63578|
 64185|
 63700|
 63975|
 64440|
 64145|
 64144|
 65575|
 64960|
 65456|
 64958|
 65695|
 65810|
 64307|
 65714|
 65339|
 66242|
 66216|
 66811|
 67523|
 67006|
 68273|
 67587|
 67447|
 68752|
 69267|
 65299|
 69479|
 70060|
 69997|
 68375|
 69897|
 71701|
 70555|
 71129|AVIOR
 70272|
 70569|
 71176|
 71155|
 71878|
 71555|
 71369|MUSCIDA
 72292|
 72184|
 73634|
 73262|
 73471|
 73171|
 72582|
 73840|
 74195|
 74180|
 73593|
 75416|
 74198|ASELLUS BOREALIS
 74575|
 74442|ASELLUS AUSTRALIS
 74706|
 74739|
 75333|
 75691|
 76728|
 76376|
 76294|
 79837|
 77002|
 76756|ACUBENS
 76644|TALITHA
 76813|
 77258|
 76943|
 77353|
 78045|
 76827|
 77327|
 77640|
 77309|
 78004|
 77912|
 78316|
 78647|
 78668|
 78515|
 78922|
 79181|
 80007|MIAPLACIDUS
 79158|
 79469|
 76990|
 80404|ASPIDISKE
 80218|
 80493|
 80874|
 81188|
 81146|
 81420|
 81797|ALPHARD
 82150|
 82668|
 81937|
 83095|
 92523|
 82395|
 82328|
 82734|
 82635|
 82210|
 81817|
 83380|
 83425|
 83618|
 83754|
 83808|
 83489|
 84107|
 84194|
 84367|
 84810|
 84441|
 84455|
 84737|
 84999|
 85364|
 85563|
 85503|RASALAS
 85951|
 86082|
 86440|
 86146|
 85841|
 86629|
 86611|
 86663|
 86728|
 87427|
 87141|
 87504|
 87737|
 87901|REGULUS
 88284|
 89080|
 88955|
 89025|ADHAFERA
 89388|q CAR
 89021|TANIA BOREALIS
 89254|
 88983|
 89353|
 89688|RS SEX
 89998|
 89758|TANIA AUSTRALIS
 89904|
 90044|
 90132|
 89822|
 90589|
 90432|
 90610|
 90853|
 90537|
 90882|
 90861|
 90839|
 92683|
 90089|
 91465|
 91232|
 91316|
 91504|
 91550|
 91190|
 91480|
 92305|
 91889|
 92125|
 92449|
 92588|
 92845|
 93030|
 92825|
 92787|
 93845|
 93152|
 93244|
 93257|
 93410|
 93702|
 93813|
 93903|
 94264|
 94890|
 96124|
 95128|
 95272|ALKES
 94860|
 95370|
 95345|
 95418|MERAK
 95695|
 95689|DUBHE
 96097|
 96202|
 96220|
 96706|
 96436|
 96918|
 96833|
 97277|
 97393|
 97495|
 97603|ZOSMA
 97633|CHERTAN
 96571|
 98058|
 97989|
 98262|ALULA BOREALIS
 98353|
 98430|
 98718|
 98664|
 98772|
 99171|
 99211|
 99302|
 99491|
 99648|
 99923|
 99984|
100029|GIAUSAR
100407|
100841|
100825|
100889|
100920|
101132|
101431|
101501|
101673|
102070|
102249|
102212|
102224|
102350|
102355|
102509|
102620|
102647|DENEBOLA
102870|ZAVIJAVA
102928|
102964|
103095|GROOMBRIDGE 1830
103287|PHECDA
103578|
103632|
103928|
104321|
104731|
104904|
104979|
104985|
105078|
105435|
105707|
105778|
106112|
106478|
106490|
106591|MEGREZ
106625|GIENAH
106690|
106911|
107161|
107274|
107259|ZANIAH
107328|
107700|
108110|
108225|
108248|ACRUX
108323|
108483|
108541|
108765|
108767|ALGORAB
108844|
108903|GACRUX
109026|
109387|
109272|
109317|
109358|CHARA
109379|
109485|
109511|
109704|
109668|
110014|
110287|
110462|
110411|
110666|
110914|Y CVN
110951|
111123|
111239|
111226|
111597|
111812|
111862|
111968|
112074|
112185|ALIOTH
112142|
111482|
112429|
112300|
112413|COR CAROLI
112846|
113226|VINDEMIATRIX
112985|
113797|
113847|
113848|
113791|
113902|
114330|
114447|
114576|
114710|
114911|
115310|
115331|
115604|
115521|
115617|
115659|
116010|
115892|
116087|
116656|MIZAR
116658|SPICA
117187|
116870|
117203|
117176|
117376|
118022|
118098|
118216|
118295|
118219|
118904|
118285|
118716|
117374|
119086|
119149|
120565|
119159|
119605|
119756|
120064|
120136|
120315|ALKAID
120324|
120500|
120452|
121130|
121370|MUPHRID
121263|
121682|
121474|
121847|
122106|
122066|
122405|
122408|
122532|
122451|
123299|THUBAN
122837|
122250|
122177|
123123|
123139|MENKENT
123657|
124547|
123999|
124294|
124897|ARCTURUS
124850|SYRMA
125161|
125162|
125351|
125248|CS VIRGO
125337|
125451|
125288|
125473|
126035|
126248|
126218|
125835|
126660|
126341|
126661|
127700|
126769|
126868|
127929|
127665|
127762|SEGINUS
128167|
127972|
128429|
129002|
128620|RIGEL KENTAURUS
129336|
129056|
 19771|
129502|
129712|W BOOTES
129456|
130084|
130109|
129893|
130259|
129078|
130817|
133002|
130819|
131873|KOCHAB
130841|ZUBENELGENUBI
131507|
131476|
131625|
131951|
131918|
132145|
131977|33 G LIB
132132|
132813|RR UMI
132058|
132200|
132742|
133208|NEKKAR
133216|
133582|
133962|
134190|
134083|
134481|
134759|
134505|
135153|
136064|
135482|
135722|
135742|ZUBENESCHAMALI
135379|
136138|
136160|
135382|
137422|PHERKAD
136298|
136422|
136703|
136801|
136664|
137006|
137391|ALKALUROPS
137759|EDASICH
137471|
137909|NUSAKAN
137744|
129723|
138290|
138481|
137387|
138749|
138716|
139006|ALPHECCA
138905|
138816|
138538|
139063|
139641|
139798|
139129|
139997|
137333|
143173|
142105|
140573|UNUKALHAI
141003|
141653|
141477|
141513|
141795|
141556|
142091|
142373|
142096|
141891|
142860|
143107|
143466|
142983|
143018|
143009|
143333|
143275|
143459|
144284|
144217|GRAFFIAS
144197|
144294|
145001|
145389|
145328|
145148|
146926|
145397|
146051|YED PRIOR
145544|
146604|
148048|
146791|YED POSTERIOR
146836|
147394|
146686|
145366|
147165|
147547|
147449|
147835|
147869|
148330|
148112|
149212|
147584|
148478|ANTARES
148604|
148856|KORNEPHOROS
150275|
148703|
149650|
147675|
149630|
149438|
149661|
149757|
150450|
150416|
150997|
151613|
153751|
151431|
150798|ATRIA
151658|
151249|
151769|
151680|
152326|
151890|
152308|
152598|
152614|
153210|
152824|
152786|
152980|
153808|
152260|
148542|
153687|
154029|
154713|
154494|
154481|
155102|
154779|
155763|
155078|
155500|
155203|
156164|
156283|
156247|U OPH
183030|
156098|
157049|
157214|
157056|
156190|
157244|
157856|
157792|
157999|
157950|
158414|
157919|
159181|RASTABAN
158899|
158408|LESATH
158094|
156513|
158427|
159966|
159541|
166205|
159560|
159501|
158926|SHAULA
159358|
159561|RASALHAGUE
160922|
159532|
159876|
160762|
162003|
160578|
160915|
161096|CEBALRAI
160691|
160635|
161797|
161592|
161471|
161868|
162076|
163989|
161892|G SCO
162319|
163588|GRUMIUM
163153|
163506|
163770|
164058|ELTANIN
163993|
163917|
164349|
164353|
164358|
165135|ALNASL
165024|
165777|
166014|
166103|
166063|
164712|
166937|
168151|
167965|
167128|
167833|
167618|
168775|
168656|
168454|KAUS MEDIA
170153|
168723|
168339|
169414|
172864|
169022|KAUS AUSTRALIS
169689|
169981|
169467|
169916|KAUS BOREALIS
170296|
170474|
172340|
170878|
170845|
171654|
171443|
172569|
171802|
172167|VEGA
171856|
172748|
171759|
173009|
173300|
173667|
173780|
175286|
174237|
173880|
173764|
173715|
174638|SHELIAK
174309|
175306|
173948|
176524|
164461|
175191|NUNKI
175865|R LYRAE
175317|
175638|ALYA
175775|
175510|
176437|SULAFAT
176411|
177724|
177756|
177880|
178233|
177716|
178475|
178253|
178524|
180711|ALTAIS
179406|
181984|
180809|
178274|
181276|
180540|
180868|
180885|
184102|
181615|
181454|ARKAB
181869|RUKBAT
182572|
182640|
183339|
183124|
182955|
182681|
182509|
183439|
184006|
183630|
183912|ALBIREO
184171|
184406|
184127|
185395|
184707|
184915|
185644|
185958|
186005|
186486|
186675|
186500|
186791|TARAZED
186648|
187076|
186543|
187532|
187642|ALTAIR
187929|
188041|
187653|
188114|
188512|ALSHAIN
186154|
188947|
188899|
189319|
193214|
189103|
188228|
189849|
189763|
190327|
190421|
190248|
192907|
191610|
191692|
192696|
192577|V695 CYG
192425|
192944|
192876|
192879|
192947|ALGEDI
192827|
193302|
193495|DABIH
194093|SADR
193571|
194013|
194215|
193924|PEACOCK
195324|
195295|
195725|
195135|
196142|
196502|AF DRA
195564|
195810|
195909|
196171|
196724|
196755|
196867|
196777|
196737|
197345|DENEB
194149|
199095|
197461|
197157|
197051|
198149|
198084|
197692|
197989|
198181|
197964|
198001|ALBALI
198026|
197937|
198272|
198542|
198743|
199169|
198700|
199629|
199443|
199697|
200120|V832 CYG
199960|
199951|
200163|
199532|
200905|
201908|
200761|
200932|
201091|
200914|
177482|
201381|
201601|
202109|
201901|
201371|
202103|
202447|KITALPHA
202850|
202501|
202904|
202627|
203280|ALDERAMIN
203320|
203006|
203504|
203387|
203705|
203760|
203608|
204075|
204445|
205021|ALFIRK
204771|
204724|
204867|SADALSUUD
204854|
204960|
205435|
205835|
205767|
205852|
206267|
206088|NASHIRA
205478|
206952|
206778|ENIF
206742|
207260|
207088|
207052|
207330|
207098|DENEB ALGEDI
207203|
207129|
207650|
207241|
207692|
208509|
208057|
207958|
207971|
208527|
208450|
208801|
209166|
209100|
209960|
209750|SADALMELIK
209688|
209819|
210027|
209952|AL NA'IR
210049|
210354|
210807|
210459|
210418|BIHAM
210745|
212710|
211073|
210934|
211038|
211391|ANCHA
211416|
210967|
212076|
212010|
212061|SADACHBIA
212496|
212571|
212670|
212728|
212953|
213119|
213179|
213306|
213009|
213798|
213323|
213320|
213558|
213398|
211539|
214035|
213845|
213998|
214470|
214376|
214734|
214680|
214748|
214923|HOMAM
214952|
215182|MATAR
215373|
215510|
206553|
214846|
215665|
215749|
215721|
215789|
216032|
216228|
216131|SADALBARI
216149|
216386|
217382|
216627|SKAT
216437|
216756|
216956|FOMALHAUT
217364|
217675|
217792|
217906|SCHEAT
217891|
218045|MARKAB
218329|
218470|
218594|
218670|
218918|
219134|BRADLEY 3077
219215|
219449|
219482|
219615|
219571|
219784|
219832|
220061|
220117|
220096|
220321|
220652|
220599|
220657|
220729|
220825|
220954|
219765|
221114|
221115|
221507|
221756|
221760|
221835|
222107|
222095|
222173|
222404|ERRAI
222368|
222439|
222433|
222603|
222661|
222847|
223047|
223274|
223252|
223352|
223429|
223524|
223768|
223781|
224014|
224022|
224098|
224309|V CEP
224303|
224427|
224533|
224554|
224617|
224686|
