#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-12-09T05:26:34 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5486873a2e45	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_Glon,_Glat
#-sort=_r
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&&-ref=VIZ5486873a2e45&-out.src=I/239/hip_main&Clear= Clear&-c.r=  2&-sort=_r&-order=I&-out=HIP&-out=RAhms&-out=DEdms&-out=Vmag&Vmag=<6&-out=RA(ICRS)&-out=DE(ICRS)&-out=Plx&-out=pmRA&-out=pmDE&-out=e_Plx&-out=B-V&-out=Notes&-out=HD&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.add=_r&-out.add=_RAJ,_DEJ&-oc.form=sexa&-c.geom=r&-out.max=50&-out.form=HTML Table&undefined=CDS, France&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=Vmag
#Vmag=<6
#-out=Plx
#-out=HD
#HIPep=HIPep
#Erratum=Erratum
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Coosys	G:	galactic
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue\vizContent{timeSerie}
#Column	_Glon	(F8.4)	Galactic longitude at Epoch=J1991.25, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lon]
#Column	_Glat	(F8.4)	Galactic latitude at Epoch=J1991.25, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lat]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	HD	(I6)	[1/359083]? HD number <III/135> (H71) [NULL integer written as an empty string]	[ucd=meta.id]
_Glon|_Glat|Vmag|Plx|HD
119.3624|-41.3534| 5.36|   7.94|  3690
305.5476|-57.6165| 5.89|  39.26|  3823
121.4163| -6.3022| 2.24|  14.27|  3712
116.0487|-67.0800| 5.90|   5.66|  3807
120.7626|-23.3696| 5.30|   9.47|  3817
308.3065|-70.9376| 4.59|  13.19|  3919
305.6470|-60.5758| 5.72|  15.29|  3980
121.9822|  3.2932| 5.83|   6.48|  3856
121.4068|-12.3314| 4.80|   2.94|  3901
304.4312|-51.6340| 5.38|  24.59|  4089
304.9137|-56.8319| 5.99|  13.73|  4088
305.0820|-59.6314| 4.36|  13.57|  4150
121.5203|-15.8253| 4.95|  18.71|  4058
111.3267|-80.6810| 2.04|  34.04|  4128
116.6891|-73.3931| 4.77|  15.54|  4188
310.1263|-78.6050| 5.90|   8.76|  4211
121.7164|-14.9913| 5.66|   4.29|  4142
121.7781|-14.5723| 4.48|   3.60|  4180
106.0199|-84.6568| 5.22|  35.92|  4247
307.3675|-74.3960| 5.94|  15.01|  4293
122.0470| -7.6398| 5.41|   9.28|  4222
122.5487| 12.1207| 5.64|  11.24|  4161
305.6755|-69.5458| 5.80|  66.92|  4391
108.1680|-85.2427| 5.49|   9.78|  4398
121.1924|-47.3796| 5.36|   5.55|  4408
121.2207|-50.8831| 5.51|  12.45|  4482
121.7369|-38.5949| 4.08|  17.98|  4502
121.1307|-56.1166| 5.98|   7.16|  4526
117.3404|-80.8928| 5.70|   8.11|  4585
122.6867| 11.9776| 5.42|   4.06|  4382
114.5561|-84.5385| 5.57|   6.72|  4622
122.6834|  9.8043| 5.86|  14.65|  4440
121.5510|-55.5634| 5.92|   4.93|  4627
121.5099|-57.5799| 5.74| 134.04|  4628
303.1823|-42.2035| 5.09|  15.94|  4815
121.7326|-55.2801| 4.44|  10.69|  4656
122.5128|-11.9014| 4.90|   8.37|  4636
122.0863|-45.9266| 5.07|  41.80|  4676
122.6174| -5.0538| 3.46| 167.99|  4614
113.3739|-86.9672| 5.90|  17.70|  4732
120.8483|-76.4246| 5.59|  10.02|  4730
122.6023|-21.7918| 4.53|   4.80|  4727
122.5115|-35.1602| 5.55|   9.40|  4757
121.7984|-73.5126| 5.17|  64.69|  4813
303.2247|-66.1409| 5.24|  13.06|  4919
122.8546|  1.3759| 5.35|   4.01|  4775
128.1122|-86.8652| 5.47|   6.52|  5098
123.8277|-64.0132| 4.78|   6.28|  5112
123.1292| -1.7476| 4.80|  53.85|  5015
302.5042|-54.2551| 5.73|   5.32|  5276
123.9600|-43.6770| 5.80|   8.88|  5267
123.0328| 20.8364| 5.59|  13.30|  4853
123.9755|-39.2362| 5.46|  25.69|  5286
123.3924| -3.8958| 4.83|   8.02|  5234
302.4694|-47.5981| 5.45|  15.52|  5457
126.0569|-70.1929| 5.88|   6.54|  5384
127.0409|-74.1016| 5.35|   6.24|  5437
123.6030| -3.6838| 4.62|  15.84|  5395
123.5768| -2.1484| 2.15|   5.32|  5394
124.0731|-24.3607| 3.86|  23.93|  5448
123.5932| -2.5020| 5.56|   5.31|  5408
124.6456|-39.4348| 4.40|  13.44|  5516
124.6167|-33.8586| 5.44|   4.63|  5575
124.5423|-28.8994| 5.99|  17.19|  5608
123.6430|  3.4899| 5.97|   8.67|  5550
268.0477|-87.2685| 4.30|   4.85|  5737
129.4935|-74.1587| 5.62|  10.35|  5722
124.5434|-18.1315| 5.69|   7.76|  5788
293.6388|-78.0330| 5.59|   5.19|  6055
275.1389|-84.9688| 5.50|  14.39|  6178
125.7528|-31.0051| 5.50|   7.87|  6118
297.0159|-70.6000| 5.39|  13.86|  6245
125.2443|-21.4751| 5.95|   9.49|  6116
127.8878|-54.8709| 4.27|  17.14|  6186
130.5173|-67.5370| 5.40|   7.95|  6203
124.4047| -1.7621| 5.92|   2.16|  6130
124.8806|-10.3218| 5.99|   3.29|  6211
124.4651| -1.2531| 5.83|  12.47|  6210
127.8434|-47.7955| 5.64|  18.28|  6397
127.3429|-41.2765| 5.33|  13.67|  6456
127.3475|-41.2840| 5.55|  14.67|  6457
295.5057|-70.1980| 3.32|  16.46|  6595
134.9235|-72.3692| 5.58|   5.48|  6530
299.6404|-55.2514| 5.36|  11.68|  6793
136.2256|-72.2345| 5.71|  20.97|  6706
290.8154|-75.2542| 5.21|  16.48|  6767
128.1272|-41.9658| 5.56|  20.23|  6695
126.0829|-18.8281| 5.04|  16.61|  6658
125.3637| -7.8683| 5.17| 132.40|  6582
130.6770|-56.9666| 5.51|  27.84|  6763
297.8333|-61.7143| 3.94|  11.66|  6882
125.1887| -4.5332| 5.77|   5.75|  6676
137.1590|-72.5783| 3.46|  27.73|  6805
123.2392| 23.3957| 4.24|  10.43|  5848
126.1122|-15.5183| 4.26|   4.43|  6811
127.1071|-27.1026| 2.07|  16.36|  6860
128.8537|-43.0019| 5.57|   8.09|  6903
126.6733|-20.6530| 5.67|  18.98|  6920
128.2870|-37.2173| 5.81|   9.06|  6953
132.5377|-60.0689| 5.97|   3.63|  7014
124.6786|  5.9721| 5.32|  10.26|  6829
125.7633| -7.6137| 4.34|  23.73|  6961
127.8420|-31.2593| 5.15|   5.82|  7034
127.2356|-24.9827| 5.80|   3.56|  7019
125.1049|  1.4153| 5.56|   7.96|  6960
129.1813|-41.5941| 4.66|   7.42|  7087
128.1232|-32.5781| 4.51|  20.11|  7106
125.0694|  2.2312| 5.57|   8.99|  6972
134.8403|-64.6527| 5.93|   7.40|  7147
123.9062| 16.8417| 5.60|  11.98|  6798
281.5913|-78.3739| 5.95|  13.62|  7312
132.5646|-54.8788| 5.21|  22.09|  7344
129.3727|-38.0088| 4.67|   8.64|  7318
130.8440|-46.3893| 5.97|   6.52|  7374
139.8019|-70.0396| 5.14|  41.01|  7439
136.0082|-63.2509| 5.70|  22.79|  7476
290.0787|-70.9991| 4.97|  66.43|  7570
299.6555|-48.0970| 4.25|  48.94|  7788
124.8916|  8.9664| 5.87|   0.22|  7389
137.7464|-64.6456| 5.42|  12.74|  7672
135.6341|-58.6056| 5.13|  14.83|  7804
130.5571|-35.1923| 4.74|  10.49|  7964
138.4514|-62.5229| 5.87|   8.27|  8036
126.7063| -4.4301| 4.95|   1.40|  7927
130.7541|-33.6821| 5.23|   9.49|  8126
128.5834|-17.0036| 4.87|  16.68|  8207
132.9943|-41.7771| 5.97|   3.94|  8388
243.4028|-82.0201| 5.84|   3.67|  8498
129.9449|-24.7174| 5.60|  15.43|  8374
146.5933|-69.5436| 3.60|  28.48|  8512
145.5530|-68.3293| 5.92|  22.33|  8556
279.6556|-74.0994| 5.42|  13.22|  8651
296.9828|-52.3684| 5.92|   3.23|  8810
157.0753|-75.1551| 4.90|  11.31|  8705
127.1893| -2.3519| 2.66|  32.81|  8538
126.1484|  5.4739| 4.72|  16.89|  8491
134.1909|-42.9370| 5.35|  38.35|  8723
129.6126|-18.9611| 5.98|  24.21|  8671
134.3129|-42.8507| 5.50|  10.63|  8763
155.1636|-73.6699| 5.51|  27.55|  8829
129.5655|-16.9978| 4.83|  35.33|  8799
280.5262|-72.1678| 3.41|  13.94|  9053
182.6525|-79.7221| 5.11|  14.72|  9132
129.7508|-15.3518| 5.27|  11.26|  9057
140.0798|-55.4326| 4.84|   9.05|  9138
209.0966|-81.2536| 5.92|   7.35|  9228
126.3059|  7.6541| 5.82|  34.19|  9021
286.2655|-66.7469| 3.93|  22.15|  9362
137.0088|-46.4285| 3.62|  11.09|  9270
234.9611|-80.6250| 5.79|  10.74|  9377
263.4833|-76.8947| 5.49|  12.29|  9525
128.4356| -4.0950| 5.69|   1.67|  9352
151.3771|-67.5317| 5.75|  33.71|  9562
128.3519| -3.1917| 4.68|  15.96|  9408
132.3158|-24.8527| 5.90|   8.32|  9531
166.3270|-74.7790| 5.62|  16.32|  9672
137.1066|-43.2139| 5.90|   5.46|  9640
137.7892|-44.1512| 5.95|  16.75|  9780
166.6121|-74.3585| 5.41|   5.94|  9856
231.3606|-79.7998| 5.69|  16.13|  9906
132.0011|-20.6652| 4.10|  74.25|  9826
140.1558|-49.1972| 5.54|  29.58|  9919
301.6999|-32.2481| 5.66|   8.94| 11025
290.8416|-58.7922| 0.45|  22.68| 10144
301.2293|-33.9987| 5.88|  36.86| 10800
130.8143|-13.5295| 3.59|  18.76|  9927
129.1079| -4.3332| 5.55|   2.86|  9900
259.1806|-76.3061| 5.94|  10.10| 10142
126.4010| 10.4862| 5.28|   7.30|  9774
187.0452|-77.7134| 5.58|  14.21| 10148
131.8860|-17.6510| 5.01|  13.46| 10072
139.3751|-44.9201| 5.98|   7.18| 10164
289.5965|-59.6624| 5.76| 122.75| 10360
132.9240|-21.3392| 4.96|   4.79| 10205
132.3552|-18.6715| 5.63|  12.15| 10204
145.1178|-55.2160| 4.45|   8.86| 10380
135.6909|-31.5774| 5.97|   6.23| 10348
162.1499|-70.2635| 5.75|  26.83| 10453
132.7134|-19.2999| 4.96|  79.09| 10307
292.1691|-55.2742| 5.70|   8.79| 10615
258.2727|-75.5560| 5.70|  10.71| 10538
134.4634|-26.4900| 5.63|  12.61| 10390
241.2688|-77.8378| 5.25|  15.02| 10537
127.6796|  5.6417| 5.57|   7.34| 10221
286.8979|-61.7698| 5.52|  57.63| 10647
138.8763|-41.0154| 5.24| 133.91| 10476
152.7498|-63.5527| 4.98|   2.71| 10550
127.2146|  8.1802| 5.18|  11.62| 10250
129.2712| -1.6801| 5.78|   3.57| 10425
131.3246|-11.3300| 4.01|   4.55| 10516
173.1162|-73.4382| 3.49| 274.17| 10700
144.6074|-51.4291| 4.26|  12.63| 10761
206.2892|-77.6601| 5.29|  36.46| 10830
156.6139|-64.9748| 5.37|   6.40| 10824
282.9234|-64.1357| 5.49|   4.80| 10934
285.6767|-61.7365| 5.04|  17.54| 10939
129.0862|  1.6561| 5.63| 100.24| 10780
141.8902|-43.8174| 5.86|  11.37| 10982
149.1743|-56.2546| 5.91|   9.95| 11037
135.2006|-23.5521| 5.94|  10.57| 10975
136.6483|-28.6527| 5.78|  36.65| 11007
165.4824|-68.6081| 4.66|  42.35| 11171
140.3886|-38.5982| 5.83|   5.68| 11154
145.5833|-49.1968| 5.92|  23.46| 11257
280.6990|-64.2770| 5.94|  13.37| 11413
132.1790| -9.8663| 5.96|  22.42| 11151
165.8819|-68.0480| 3.74|  12.59| 11353
131.5739| -6.7051| 5.53|   3.17| 11241
132.6370|-10.9312| 5.70|   6.63| 11291
180.4188|-72.5150| 5.78|   9.87| 11522
138.6422|-31.4049| 3.42|  50.87| 11443
135.4000|-20.6397| 5.42|   6.04| 11428
142.5477|-41.2006| 3.88|  15.96| 11502
151.6381|-56.1827| 4.61|  17.11| 11559
274.3490|-67.2221| 4.39|  10.15| 11695
267.1738|-69.9943| 5.12|  10.55| 11753
129.8450|  1.6466| 3.35|   7.38| 11415
142.2445|-39.6815| 2.64|  54.74| 11636
293.9259|-48.3554| 4.68|  15.04| 11977
141.4833|-36.9631| 5.76|   6.25| 11763
136.9068|-23.8382| 5.89|   3.29| 11727
280.8657|-62.6661| 3.69|  57.19| 11937
128.7697|  6.5484| 4.97|   4.65| 11529
136.9660|-23.8500| 5.69|  10.18| 11749
199.2212|-74.5153| 4.92|   8.18| 11930
274.8414|-65.9988| 4.82|  12.22| 12055
144.3451|-42.2971| 5.09|   4.95| 11909
140.4006|-32.8086| 5.84|   6.85| 11928
142.0414|-36.7960| 4.79|  24.49| 11973
134.0594|-12.2119| 5.70|  13.25| 11949
289.4468|-53.7603| 2.86|  45.74| 12311
143.5542|-39.0684| 5.89|   8.17| 12139
130.1588|  2.7110| 5.29|  12.69| 11946
264.2497|-69.6036| 5.57|  12.55| 12296
194.5961|-73.1868| 5.43|   4.88| 12255
195.4710|-73.2440| 3.99|  10.84| 12274
154.3342|-55.5281| 5.89|  32.18| 12235
167.4051|-65.2502| 5.43|   5.50| 12292
227.6665|-74.4216| 5.34|  11.71| 12438
268.8687|-67.4841| 5.15|   8.76| 12524
128.6860|  8.8273| 4.49|  27.91| 12111
155.3509|-55.5996| 3.82|  23.45| 12446
133.1895| -6.9668| 4.99|   4.41| 12303
148.1896|-45.8769| 5.97|   3.86| 12479
139.7134|-27.2460| 5.50|   8.81| 12471
181.1363|-69.6041| 5.87|   9.91| 12583
130.5706|  2.5849| 5.59|   0.94| 12301
158.1820|-57.7467| 5.42|  11.31| 12573
128.3751| 10.3147| 3.95|  20.12| 12216
142.6149|-34.1610| 5.64|  18.90| 12558
162.9144|-61.2353| 5.61|   4.98| 12642
158.8839|-58.0687| 5.96|   9.89| 12641
136.9644|-18.5589| 2.10|   9.19| 12533
224.8877|-73.7781| 4.68|   9.03| 12767
127.0621| 15.0044| 5.27|  29.80| 12230
127.4360| 13.8954| 5.22|   7.65| 12339
144.7791|-37.0156| 5.03|  17.40| 12869
144.5777|-36.2054| 2.01|  49.48| 12929
139.3124|-22.5495| 4.78|  16.48| 13041
132.9163| -2.9429| 5.66|   1.79| 12953
264.2203|-67.3119| 5.84|   5.68| 13336
144.0797|-33.7092| 4.98|  10.19| 13174
140.5476|-25.1985| 3.00|  26.24| 13161
147.4023|-39.5790| 5.68|   4.90| 13325
154.1996|-49.3883| 5.64|  23.52| 13421
163.5172|-58.2338| 5.94|   9.20| 13468
142.9752|-29.3992| 4.94|  10.68| 13480
145.6863|-35.0912| 5.96|   5.77| 13522
164.6120|-58.5199| 5.65|  21.71| 13612
147.1455|-37.8055| 5.23|  33.19| 13555
229.1846|-71.8418| 5.27|   9.82| 13709
154.5505|-48.9529| 4.36|   9.01| 13611
199.1061|-70.4249| 5.86|   8.17| 13692
150.4045|-43.1958| 5.72|   6.03| 13596
138.0427|-16.2272| 4.84|   5.86| 13520
135.8592| -9.7316| 5.31|  16.39| 13530
291.5680|-47.4181| 5.57|   4.41| 14141
257.7045|-67.9073| 5.91|   9.77| 13940
291.3498|-47.4476| 5.67|   6.97| 14287
146.0685|-34.0140| 5.57|  20.77| 13872
145.7396|-33.3266| 5.79|  24.93| 13871
142.5475|-26.2738| 5.25|  11.13| 13869
275.3521|-60.8184| 3.56|  21.06| 14228
171.2741|-60.9867| 5.51|   9.58| 14129
142.4400|-25.3834| 4.84|  92.20| 13974
142.6495|-25.7151| 4.03|  27.73| 14055
134.2493| -3.0573| 5.75|   8.61| 13982
162.2031|-54.3763| 5.60|  40.04| 14214
134.3857| -3.4160| 5.99|   4.59| 13994
149.2704|-38.4967| 5.58|   8.42| 14191
145.2170|-30.4143| 5.29|   9.31| 14252
137.9896|-12.9072| 5.31|  12.77| 14212
280.1011|-57.0869| 5.81|   5.78| 14641
137.2865|-10.2082| 5.57|   9.15| 14392
291.2497|-46.3668| 4.08|  24.10| 15008
164.9481|-54.9169| 5.29|   2.49| 14652
179.7892|-63.1442| 5.43|  33.48| 14691
193.3046|-67.0600| 5.89|   6.47| 14728
166.4028|-55.8977| 5.42|  11.68| 14690
135.5051| -4.7907| 5.16|   1.59| 14489
208.8546|-69.2031| 5.19|  45.60| 14802
140.7978|-18.2826| 5.81|  21.16| 14622
294.4749|-41.9476| 5.99|  10.26| 15248
273.2758|-60.4431| 5.90|  16.30| 14943
137.8641|-10.1501| 5.19|   8.69| 14770
157.0273|-45.9882| 5.48|   5.41| 14951
283.7879|-53.2042| 5.36|  20.40| 15233
137.9485| -9.8268| 4.73|   9.46| 14872
183.7466|-63.3488| 4.88|   6.17| 15130
189.5301|-65.0773| 5.88|  15.24| 15144
200.0065|-67.1226| 5.89|  11.47| 15220
267.1240|-62.2404| 4.24|   6.17| 15371
145.7201|-26.7863| 5.55|  11.39| 15176
236.6770|-68.2019| 5.13|  21.35| 15427
159.6909|-47.3903| 4.30|  18.53| 15318
146.8645|-28.6682| 5.29|  21.01| 15257
146.8846|-28.3719| 5.89|  32.48| 15335
132.1239|  6.2896| 4.46|  23.04| 15089
149.6243|-32.4493| 5.88|  19.59| 15524
166.2507|-51.9831| 5.27|   6.85| 15694
297.1907|-36.8768| 5.27|  11.18| 16522
123.2804| 26.4614| 1.97|   7.56|  8890
191.1195|-63.7773| 4.74|  38.73| 15798
144.7388|-22.4257| 5.15|   8.33| 15656
169.9441|-54.4415| 5.36|  12.27| 15779
145.6161|-23.8219| 5.84|  12.54| 15755
238.2716|-67.0014| 5.91|   8.58| 15975
221.6989|-67.3433| 4.96|   7.19| 16046
179.4908|-58.8679| 5.74|   5.94| 16074
144.9151|-21.0712| 5.72|   4.82| 16028
146.1403|-23.4384| 5.38|  -0.60| 16058
164.4783|-48.6704| 4.87|   8.77| 16161
179.8572|-58.6093| 5.53|   6.31| 16212
163.3997|-47.5987| 5.79| 138.72| 16160
226.3877|-66.8787| 5.74|   5.02| 16307
162.8331|-46.8335| 5.81|  11.18| 16247
159.1358|-42.9088| 5.64|  28.40| 16234
144.5280|-19.6727| 5.91|  18.42| 16176
237.6913|-66.2379| 5.78|  39.16| 16417
272.3086|-57.8214| 5.30|  22.49| 16555
133.5511|  5.0866| 5.80|   4.00| 16024
174.4862|-55.2499| 5.65|  10.29| 16400
130.7049| 11.5754| 5.17|  12.73| 15920
226.7472|-66.4106| 5.84|  27.99| 16538
153.4611|-34.4666| 5.45|   9.41| 16432
170.7640|-52.2116| 4.08|   5.04| 16582
187.1951|-60.4138| 4.83|  36.99| 16620
288.9567|-45.8158| 4.12|  21.27| 16978
255.6729|-62.9811| 4.74|  25.15| 16754
183.5403|-58.8439| 5.79|  46.42| 16673
274.4308|-56.1115| 5.21|  20.49| 16920
249.2973|-64.0655| 4.11|  22.42| 16815
151.0178|-29.7859| 5.30|  13.97| 16628
172.4201|-52.6812| 5.72|  46.24| 16765
192.3747|-61.4542| 5.98|  20.29| 16825
245.8963|-64.2891| 5.99|   8.59| 16975
